Foundation Skills,,
,Reading,
,,Identifies and interprets textual information to determine and adhere to organisational and task requirements
,Writing,
,,Completes required documents using organisational formats
,Oral communication,
,,Uses listening and questioning techniques to seek information and confirm understanding
,,Participates in verbal interactions using language and features suitable to audience and context
,Numeracy,
,,Interprets numerical information related to timeframes
,Enterprise and initiative,
,,"Complies with organisational policies, procedures and standards"
,Planning and organising,
,,Prioritises work and completes activities within designated timeframes
,,Identifies and solves routine problems
,Technology,
,,Selects and uses appropriate digital tools to complete tasks
