Foundation Skills,,
,Learning,
,,Identifies and applies strategies and develops own accompaniment skills
,Oral communication,
,,Uses questioning and listening skills in verbal discussions
,,Uses verbal and non-verbal methods of communication
,Planning and organising,
,,Plans and maintains own workload and performance
,Problem solving,
,,Evaluates feedback and determines solutions and improvements
,Self-management,
,,Identifies requirements of own role
,,Follows accepted communication practices and protocols
,,Makes decisions directly related to own role
,Teamwork,
,,Collaborates with others on tasks
,,Contributes to activities requiring joint responsibility
